"studyn","trtn","trtc","r","n"
1,1,"Control",3,39
1,2,"Beta Blocker",3,38
2,1,"Control",14,116
2,2,"Beta Blocker",7,114
3,1,"Control",11,93
3,2,"Beta Blocker",5,69
4,1,"Control",127,1520
4,2,"Beta Blocker",102,1533
5,1,"Control",27,365
5,2,"Beta Blocker",28,355
6,1,"Control",6,52
6,2,"Beta Blocker",4,59
7,1,"Control",152,939
7,2,"Beta Blocker",98,945
8,1,"Control",48,471
8,2,"Beta Blocker",60,632
9,1,"Control",37,282
9,2,"Beta Blocker",25,278
10,1,"Control",188,1921
10,2,"Beta Blocker",138,1916
11,1,"Control",52,583
11,2,"Beta Blocker",64,873
12,1,"Control",47,266
12,2,"Beta Blocker",45,263
13,1,"Control",16,293
13,2,"Beta Blocker",9,291
14,1,"Control",45,883
14,2,"Beta Blocker",57,858
15,1,"Control",31,147
15,2,"Beta Blocker",25,154
16,1,"Control",38,213
16,2,"Beta Blocker",33,207
17,1,"Control",12,122
17,2,"Beta Blocker",28,251
18,1,"Control",6,154
18,2,"Beta Blocker",8,151
19,1,"Control",3,134
19,2,"Beta Blocker",6,174
20,1,"Control",40,218
20,2,"Beta Blocker",32,209
21,1,"Control",43,364
21,2,"Beta Blocker",27,391
22,1,"Control",39,674
22,2,"Beta Blocker",22,680
