"studyn","trtn","trtc","r","n"
1,1,"No intervention",9,140
1,3,"Individual counselling",23,140
1,4,"Group counselling",10,138
2,2,"Self-help",11,78
2,3,"Individual counselling",12,85
2,4,"Group counselling",29,170
3,1,"No intervention",75,731
3,3,"Individual counselling",363,714
4,1,"No intervention",2,106
4,3,"Individual counselling",9,205
5,1,"No intervention",58,549
5,3,"Individual counselling",237,1561
6,1,"No intervention",0,33
6,3,"Individual counselling",9,48
7,1,"No intervention",3,100
7,3,"Individual counselling",31,98
8,1,"No intervention",1,31
8,3,"Individual counselling",26,95
9,1,"No intervention",6,39
9,3,"Individual counselling",17,77
10,1,"No intervention",79,702
10,2,"Self-help",77,694
11,1,"No intervention",18,671
11,2,"Self-help",21,535
12,1,"No intervention",64,642
12,3,"Individual counselling",107,761
13,1,"No intervention",5,62
13,3,"Individual counselling",8,90
14,1,"No intervention",20,234
14,3,"Individual counselling",34,237
15,1,"No intervention",0,20
15,4,"Group counselling",9,20
16,1,"No intervention",8,116
16,2,"Self-help",19,149
17,1,"No intervention",95,1107
17,3,"Individual counselling",143,1031
18,1,"No intervention",15,187
18,3,"Individual counselling",36,504
19,1,"No intervention",78,584
19,3,"Individual counselling",73,675
20,1,"No intervention",69,1177
20,3,"Individual counselling",54,888
21,2,"Self-help",20,49
21,3,"Individual counselling",16,43
22,2,"Self-help",7,66
22,4,"Group counselling",32,127
23,3,"Individual counselling",12,76
23,4,"Group counselling",20,74
24,3,"Individual counselling",9,55
24,4,"Group counselling",3,26
