"studyc","studyn","trtc","trtn","trt_class","r","n","E","stroke","year","followup"
"ACTIVE-W",1,"Standard adjusted dose anti-coagulant",3,"Anti-coagulant",65,3371,4200,0.15,2006,1.3
"ACTIVE-W",1,"Low dose aspirin + copidogrel",16,"Anti-platelet",106,3335,4180,0.15,2006,1.3
"AFASAK 1",2,"Placebo/Standard care",1,"Control",19,336,398,0.06,1989,1.2
"AFASAK 1",2,"Standard adjusted dose anti-coagulant",3,"Anti-coagulant",9,335,413,0.06,1989,1.2
"AFASAK 1",2,"Low dose aspirin",5,"Anti-platelet",16,336,409,0.06,1989,1.2
"AFASAK 2",3,"Standard adjusted dose anti-coagulant",3,"Anti-coagulant",11,170,355,0.1,1998,2.2
"AFASAK 2",3,"Fixed dose warfarin",4,"Anti-coagulant",14,167,363,0.1,1998,2.2
"AFASAK 2",3,"Medium dose aspirin",6,"Anti-platelet",9,169,365,0.1,1998,2.2
"AFASAK 2",3,"Fixed dose warfarin + medium dose aspirin",14,"Mixed",11,171,377,0.1,1998,2.2
"BAATAF",4,"Placebo/Standard care",1,"Control",13,208,435,0.03,1990,2.2
"BAATAF",4,"Low adjusted dose anti-coagulant",2,"Anti-coagulant",3,212,487,0.03,1990,2.2
"BAFTA",5,"Standard adjusted dose anti-coagulant",3,"Anti-coagulant",21,488,720.9,0.13,2007,2.7
"BAFTA",5,"Low dose aspirin",5,"Anti-platelet",44,485,712.8,0.13,2007,2.7
"CAFA",6,"Placebo/Standard care",1,"Control",9,191,241,0.04,1991,1.3
"CAFA",6,"Standard adjusted dose anti-coagulant",3,"Anti-coagulant",6,87,237,0.04,1991,1.3
"Chinese ATAFS",7,"Standard adjusted dose anti-coagulant",3,"Anti-coagulant",9,335,530,0.19,2006,1.6
"Chinese ATAFS",7,"Low dose aspirin",5,"Anti-platelet",17,369,583,0.19,2006,1.6
"EAFT",8,"Placebo/Standard care",1,"Control",50,214,405,1,1993,2.3
"EAFT",8,"Standard adjusted dose anti-coagulant",3,"Anti-coagulant",20,225,507,1,1993,2.3
"EAFT",8,"Medium dose aspirin",6,"Anti-platelet",88,404,853,1,1993,2.3
