"studyn","trtn","trtc","r","n"
1,1,"SK",1472,20251
1,3,"Acc t-PA",652,10396
1,4,"SK + t-PA",723,10374
2,1,"SK",9,130
2,2,"t-PA",6,123
3,1,"SK",5,63
3,2,"t-PA",2,59
4,1,"SK",3,65
4,2,"t-PA",3,64
5,1,"SK",887,10396
5,2,"t-PA",929,10372
6,1,"SK",1455,13780
6,2,"t-PA",1418,13746
6,9,"ASPAC",1448,13773
7,1,"SK",7,85
7,2,"t-PA",4,86
8,1,"SK",12,159
8,2,"t-PA",7,157
9,1,"SK",10,135
9,2,"t-PA",5,135
10,1,"SK",4,107
10,4,"SK + t-PA",6,109
11,1,"SK",285,3004
11,5,"r-PA",270,3006
12,1,"SK",11,149
12,7,"PTCA",2,152
13,1,"SK",1,50
13,7,"PTCA",3,50
14,1,"SK",8,58
14,7,"PTCA",5,54
15,1,"SK",1,53
15,7,"PTCA",1,47
16,1,"SK",4,45
16,7,"PTCA",0,42
17,1,"SK",14,99
17,7,"PTCA",7,101
18,1,"SK",9,41
18,7,"PTCA",3,46
19,1,"SK",42,421
19,7,"PTCA",29,429
20,2,"t-PA",2,44
20,7,"PTCA",3,46
21,2,"t-PA",13,200
21,7,"PTCA",5,195
22,2,"t-PA",2,56
22,7,"PTCA",2,47
23,3,"Acc t-PA",3,55
23,7,"PTCA",1,55
24,3,"Acc t-PA",10,94
24,7,"PTCA",3,95
25,3,"Acc t-PA",40,573
25,7,"PTCA",32,565
26,3,"Acc t-PA",2,61
26,7,"PTCA",3,62
27,3,"Acc t-PA",16,419
27,7,"PTCA",20,421
28,3,"Acc t-PA",5,69
28,7,"PTCA",3,71
29,3,"Acc t-PA",5,75
29,7,"PTCA",5,75
30,3,"Acc t-PA",59,782
30,7,"PTCA",52,790
31,3,"Acc t-PA",5,81
31,7,"PTCA",2,81
32,3,"Acc t-PA",16,226
32,7,"PTCA",12,225
33,3,"Acc t-PA",8,66
33,7,"PTCA",6,71
34,3,"Acc t-PA",522,8488
34,6,"TNK",523,8461
35,3,"Acc t-PA",356,4921
35,5,"r-PA",757,10138
36,3,"Acc t-PA",13,155
36,5,"r-PA",7,169
37,1,"SK",10,203
37,8,"UK",7,198
38,1,"SK",3,58
38,9,"ASPAC",2,52
39,1,"SK",3,86
39,9,"ASPAC",6,89
40,1,"SK",3,58
40,9,"ASPAC",2,58
41,1,"SK",13,182
41,9,"ASPAC",11,188
42,3,"Acc t-PA",2,26
42,8,"UK",7,54
43,3,"Acc t-PA",12,268
43,8,"UK",16,350
44,3,"Acc t-PA",5,210
44,9,"ASPAC",17,211
45,3,"Acc t-PA",3,138
45,9,"ASPAC",13,147
46,2,"t-PA",8,132
46,8,"UK",4,66
47,2,"t-PA",10,164
47,8,"UK",6,166
48,2,"t-PA",6,124
48,8,"UK",5,121
49,2,"t-PA",13,164
49,9,"ASPAC",10,161
50,2,"t-PA",7,93
50,9,"ASPAC",5,90
